date,start_time,end_time,outside_T_start_C,inside_T_start_C,total_elec_kWh,total_thermal_kWh,hours
2025-10-12,00:00:00,00:00:00,11.111,11.111,1.6179,4.9075,1
2025-10-12,02:00:00,06:00:00,10.611,15.329,2.0077,6.0334,5
2025-10-12,08:00:00,08:00:00,9.261,13.595,1.6791,5.0,1
2025-10-12,12:00:00,12:00:00,15.211,14.844,1.3869,4.3777,1
2025-10-12,15:00:00,21:00:00,17.661,18.775,1.8237,5.6863,7
2025-10-12,23:00:00,03:00:00,9.861,16.062,2.186,6.4672,5
2025-10-13,06:00:00,06:00:00,7.211,11.363,1.6109,4.6979,1
2025-10-13,08:00:00,08:00:00,7.961,13.749,1.7014,5.0,1
2025-10-13,13:00:00,13:00:00,14.711,15.066,1.3089,4.1116,1
2025-10-13,15:00:00,21:00:00,17.011,18.884,1.9963,6.2149,7
2025-10-13,23:00:00,05:00:00,9.861,16.085,3.3031,9.7402,7
2025-10-14,07:00:00,07:00:00,7.411,12.98,1.711,5.0,1
2025-10-14,09:00:00,09:00:00,9.711,14.753,1.4616,4.3722,1
2025-10-14,15:00:00,15:00:00,21.589,17.758,0.8114,2.7163,1
2025-10-14,20:00:00,21:00:00,11.989,18.315,0.9222,2.8049,2
2025-10-15,01:00:00,07:00:00,10.839,13.337,4.1106,12.308,7
2025-10-15,10:00:00,10:00:00,9.189,13.561,1.6803,5.0,1
2025-10-15,13:00:00,21:00:00,12.589,15.027,5.5022,16.4874,9
2025-10-15,23:00:00,05:00:00,4.889,13.967,5.683,16.0175,7
2025-10-16,07:00:00,08:00:00,2.589,11.054,3.3553,9.3291,2
2025-10-16,10:00:00,10:00:00,7.989,13.774,1.7009,5.0,1
2025-10-16,13:00:00,13:00:00,12.989,14.888,1.3787,4.2599,1
2025-10-16,15:00:00,21:00:00,14.589,18.032,3.5943,10.7278,7
2025-10-16,23:00:00,05:00:00,5.539,14.045,5.3119,15.1082,7
2025-10-17,07:00:00,07:00:00,4.139,11.616,1.7704,5.0,1
2025-10-17,09:00:00,09:00:00,6.489,12.643,1.7273,5.0,1
2025-10-17,11:00:00,11:00:00,11.789,14.984,1.3689,4.18,1
2025-10-17,14:00:00,21:00:00,14.989,16.729,3.4312,10.5626,8
2025-10-17,23:00:00,03:00:00,9.239,15.536,2.2766,6.7659,5
2025-10-18,07:00:00,07:00:00,9.389,11.364,1.6769,5.0,1
2025-10-18,09:00:00,09:00:00,11.739,15.086,1.3418,4.0954,1
2025-10-18,14:00:00,14:00:00,19.089,17.36,0.7892,2.5828,1
2025-10-18,17:00:00,20:00:00,17.489,19.93,0.8617,2.6663,4
2025-10-18,23:00:00,23:00:00,11.939,15.12,0.5124,1.5671,1
